DMA,Name,Med HHld Income,Population 18+,HHld Exp - Public Transport
509,Fort Wayne," $ 53,795 ","  542,226 ",  669 
542,Dayton," $ 53,519 ","  1,006,163 ",  692 
716,Baton Rouge," $ 53,433 ","  701,692 ",  711 
678,Wichita-Hutchinson," $ 53,394 ","  888,690 ",  668 
547,Toledo," $ 53,311 ","  810,025 ",  685 
605,Topeka," $ 53,195 ","  352,882 ",  663 
526,Utica," $ 52,936 ","  210,960 ",  665 
534,Orlando-Daytona Beach-Melbourne," $ 52,928 ","  3,392,703 ",  671 
648,Champaign-Springfield-Decatur," $ 52,907 ","  740,101 ",  691 
804,Palm Springs," $ 52,848 ","  356,410 ",  776 
577,Wilkes Barre-Scranton," $ 52,815 ","  1,173,642 ",  652 
588,South Bend-Elkhart," $ 52,729 ","  667,923 ",  667 
773,Grand Junction-Montrose," $ 52,690 ","  155,479 ",  672 
604,Columbia-Jefferson City," $ 52,658 ","  382,676 ",  652 
565,Elmira," $ 52,617 ","  186,895 ",  673 
600,Corpus Christi," $ 52,553 ","  448,901 ",  673 
528,Miami-Fort Lauderdale," $ 52,468 ","  3,755,630 ",  732 
881,Spokane," $ 52,450 ","  910,959 ",  669 
539,Tampa-St Petersburg," $ 52,388 ","  3,874,379 ",  690 
502,Binghampton," $ 52,373 ","  271,193 ",  664 
507,Savannah," $ 52,352 ","  745,254 ",  667 
582,Lafayette (IN)," $ 52,195 ","  160,217 ",  659 
676,Duluth-Superior," $ 52,142 ","  334,527 ",  671 
686,Mobile-Pensacola," $ 52,132 ","  1,113,942 ",  650 
549,Watertown," $ 51,961 ","  190,968 ",  646 
638,St Joseph," $ 51,952 ","  97,015 ",  622 
546,Columbia (SC)," $ 51,835 ","  854,283 ",  665 
691,Huntsville-Decatur," $ 51,674 ","  797,416 ",  682 
634,Amarillo," $ 51,454 ","  400,731 ",  660 
550,Wilmington," $ 51,179 ","  411,376 ",  654 
625,Waco-Temple-Bryan," $ 51,167 ","  792,619 ",  641 
671,Tulsa," $ 51,064 ","  1,053,832 ",  670 
649,Evansville," $ 51,062 ","  558,436 ",  659 
789,Tucson-Sierra Vista," $ 50,829 ","  919,837 ",  689 
790,Albuquerque-Santa Fe," $ 50,710 ","  1,447,666 ",  656 
801,Eugene," $ 50,666 ","  522,193 ",  671 
516,Erie," $ 50,399 ","  309,721 ",  654 
661,San Angelo," $ 50,372 ","  114,362 ",  664 
692,Beaumont-Port Arthur," $ 50,120 ","  347,976 ",  663 
760,Twin Falls," $ 50,031 ","  137,504 ",  621 
574,Johnstown-Altoona," $ 49,862 ","  593,090 ",  632 
630,Birmingham," $ 49,569 ","  1,461,780 ",  665 
670,Fort Smith-Fayetteville-Springdale-Roger," $ 49,548 ","  655,062 ",  660 
866,Fresno-Visalia," $ 49,514 ","  1,434,699 ",  675 
651,Lubbock," $ 49,281 ","  346,000 ",  651 
573,Roanoke-Lynchburg," $ 49,116 ","  889,876 ",  649 
746,Biloxi-Gulfport," $ 49,086 ","  293,316 ",  600 
520,Augusta," $ 49,074 ","  545,041 ",  629 
762,Missoula," $ 49,048 ","  245,602 ",  657 
622,New Orleans," $ 48,789 ","  1,355,368 ",  686 
581,Terre Haute," $ 48,710 ","  293,333 ",  618 
640,Memphis," $ 48,629 ","  1,357,327 ",  675 
717,Quincy-Hannibal-Keokuk," $ 48,627 ","  200,582 ",  615 
540,Traverse City-Cadillac," $ 48,603 ","  490,930 ",  625 
567,Greenvile-Spartanburg-Ashland," $ 48,483 ","  1,789,014 ",  637 
537,Bangor," $ 48,443 ","  277,107 ",  607 
627,Wichita Falls-Lawton," $ 48,438 ","  318,190 ",  630 
518,Greensboro-High Point-Winston-Salem," $ 48,402 ","  1,402,299 ",  652 
575,Chattanooga," $ 48,258 ","  760,787 ",  633 
513,Flint-Saginaw-Bay City," $ 48,007 ","  884,477 ",  638 
813,Medford-Klamath Falls," $ 47,930 ","  350,700 ",  637 
656,Panama City," $ 47,850 ","  312,306 ",  605 
709,Tyler-Longview," $ 47,750 ","  554,187 ",  625 
868,Chico-Redding," $ 47,749 ","  404,649 ",  656 
597,Parkersburg," $ 47,738 ","  118,156 ",  634 
643,Lake Charles," $ 47,669 ","  205,423 ",  635 
693,Little Rock-Pine Bluff," $ 47,600 ","  1,102,645 ",  627 
755,Great Falls," $ 47,594 ","  127,947 ",  644 
657,Sherman-Ada," $ 47,566 ","  248,611 ",  619 
662,Abilene-Sweetwater," $ 47,202 ","  237,636 ",  609 
536,Youngstown," $ 46,838 ","  501,229 ",  629 
557,Knoxville," $ 46,660 ","  1,079,790 ",  636 
553,Marquette," $ 46,455 ","  173,181 ",  591 
642,Lafayette (LA)," $ 46,402 ","  479,239 ",  645 
771,Yuma-El Centro," $ 46,397 ","  283,162 ",  589 
554,Wheeling-Steubenville," $ 46,388 ","  258,543 ",  611 
596,Zanesville," $ 46,356 ","  62,118 ",  577 
545,Greenville-New Bern-Washington," $ 46,345 ","  626,959 ",  598 
802,Eureka," $ 46,124 ","  130,833 ",  615 
736,Bowling Green," $ 45,929 ","  169,172 ",  590 
592,Gainesville," $ 45,907 ","  272,298 ",  625 
606,Dothan," $ 45,634 ","  197,772 ",  599 
530,Tallahassee-Thomasville," $ 45,518 ","  588,900 ",  613 
541,Lexinton," $ 45,207 ","  1,006,666 ",  628 
631,Ottumwa-Kirksville," $ 45,073 ","  100,308 ",  592 
598,Clarksburg-Weston," $ 44,998 ","  208,158 ",  586 
603,Joplin-Pittsburg," $ 44,953 ","  301,000 ",  584 
503,Macon," $ 44,920 ","  514,116 ",  598 
718,Jackson (MS)," $ 44,775 ","  673,679 ",  631 
522,Columbus (GA)," $ 44,717 ","  458,187 ",  614 
639,Jackson (TN)," $ 44,320 ","  189,999 ",  587 
698,Montgomery," $ 44,305 ","  471,781 ",  615 
619,Springfield (MO)," $ 44,179 ","  850,747 ",  568 
